row_id,ts,country,city,checksum,secret
R000064,2024-06-13T20:09:00,AUSTRALIA,SYDNEY,e538ac7cba,_VILESAMZTQMY_L
R000065,2024-07-13T09:37:00,GERMANY,COLOGNE,2024159cfd,EXDKNEJYYVCEIDFHPKSZ
R000066,2024-07-14T10:17:00,KENYA,MOMBASA,f4027f1642,XQLLGUYZBFGIQYWXDALC
R000067,2024-06-10T00:11:00,INDIA,AHMEDABAD,c28ca97fc7,XDSK_TMJZFPQTQC
R000068,2024-06-19T16:22:00,USA,BOSTON,343d2ca18e,QXGPXNRJUNWWKQDTS
R000069,2024-06-21T01:11:00,KENYA,KISUMU,080c7baa5f,NLMBEKPWMYPTIPRHJOP
R000070,2024-07-11T18:21:00,KENYA,KISUMU,041b831a31,ZKPGJOHDDGQGGMZ
R000071,2024-06-06T17:23:00,GERMANY,BERLIN,884ad92a82,WGOM_YXZHIRYQZNJDEXRD
R000072,2024-07-15T14:56:00,CANADA,OTTAWA,869a6c76fe,TFWD__RXLNLRW
R000073,2024-06-19T20:59:00,KENYA,MOMBASA,185e846d1b,VAMZABKYUQQB
R000074,2024-07-11T22:56:00,BRAZIL,CURITIBA,1d4483d704,BKPCLUTWMSNHGXE
R000075,2024-06-16T02:59:00,BRAZIL,CURITIBA,7715a74d77,OZESYVCZVKK
R000076,2024-06-17T10:02:00,FRANCE,LILLE,8b3b62125a,G_GWXYEQSMQLS
R000077,2024-06-09T21:22:00,BRAZIL,SAOPAULO,954d8825c0,YWNTVPCIXW_YFDBVC
R000078,2024-06-05T12:07:00,AUSTRALIA,ADELAIDE,b91abfe646,LIDGSWKQTLJAVTFJAIEH
R000079,2024-06-06T13:02:00,BRAZIL,SALVADOR,320b0797eb,_RYHYATMMRKOHQOXSIMJRS
R000080,2024-06-03T04:45:00,UK,MANCHESTER,e2a8d670bd,GKXTA_EFBX
R000081,2024-07-15T06:24:00,USA,BOSTON,7e442f885a,X_P_OWMELYYM
R000082,2024-06-26T05:26:00,UK,LONDON,6affbb3a08,QZBQNGSIIHUJ_GEBAF
R000083,2024-07-04T17:37:00,CHILE,IQUIQUE,9d96a49add,XHPB_XYKULDKXFUB
R000084,2024-07-02T20:52:00,KENYA,KISUMU,112a164b51,LI_AMKZGNHMTWROV
R000085,2024-07-14T15:14:00,BRAZIL,SAOPAULO,81125c1616,_ELCAQIKCNXXPLZSVI
R000086,2024-06-03T13:07:00,JAPAN,OSAKA,ef087f5ddd,LGJRJICHRJPEYHLCG
R000087,2024-07-14T01:34:00,CHILE,ARICA,c19ee78cb0,_YWMYGBHR_AB
R000088,2024-06-19T15:01:00,BRAZIL,RECIFE,c0bdfa23d8,QIRATHMRDVIQRVZKUYZ
R000089,2024-06-15T16:28:00,GERMANY,FRANKFURT,156ae10063,EQHSQMALLW_UFELLMO_ITV
R000090,2024-06-23T21:41:00,GERMANY,COLOGNE,df87ba2583,IZUJNFECYOZA
R000091,2024-07-10T01:06:00,GERMANY,FRANKFURT,9c6ee9e6b3,LRQDDHRZNMOWOXYUWVN
R000092,2024-06-05T09:45:00,FRANCE,LILLE,2961339375,JZZJNKYBZPVXZZD_TRCPU
R000093,2024-06-20T08:01:00,JAPAN,TOKYO,c7c5b484cf,HPFYGPGO_NGASDYS
R000094,2024-06-22T16:04:00,JAPAN,FUKUOKA,610fe0ae76,EONHZMSHUJMJRKNA
R000095,2024-07-12T13:13:00,AUSTRALIA,MELBOURNE,54a5367c52,RSBIHQTNQTJ
R000096,2024-06-07T17:41:00,JAPAN,SAPPORO,5f0eeb0023,YPCVJQPUYOJRBJMRUDZYQT
R000097,2024-06-02T12:08:00,USA,CHICAGO,e5368e10e8,JZ_SCYWFBGAVENUGPNZYOA
R000098,2024-07-11T05:33:00,AUSTRALIA,PERTH,63cd6af73a,DTQKGZDVUMTSVZZWI
R000099,2024-07-13T03:27:00,AUSTRALIA,SYDNEY,0fbc1a38cf,VMEEEQ_LRGITKCYDZ
R000100,2024-06-17T00:36:00,FRANCE,NICE,fc2c30b1fe,EGJPQRQNWZLGHZHHXYIDG_
R000101,2024-07-01T18:11:00,UK,LEEDS,e272210fd0,YGSRUOYBCIDQCJY
R000102,2024-07-11T02:36:00,CANADA,OTTAWA,ec1bf989a0,PLSLSVMJECSZXKSTFR
R000103,2024-06-27T20:06:00,USA,SEATTLE,4cca8cefc4,ZOSZRHS_YLBSG
R000104,2024-06-01T14:08:00,AUSTRALIA,SYDNEY,afff363c78,VKQKKNNWKC
R000105,2024-06-24T18:24:00,CANADA,TORONTO,7763b18016,HAFYASUQAVMZFD
R000106,2024-06-10T09:29:00,JAPAN,OSAKA,b6547ac5d4,IRRIJSQKSRAK_TF_LQN
R000107,2024-06-14T12:13:00,AUSTRALIA,ADELAIDE,019e98c90f,_EIKXRIQYHX
R000108,2024-07-12T17:02:00,CHILE,CONCEPCION,29ae854905,PPGKKIIKB_
R000109,2024-06-09T06:28:00,JAPAN,FUKUOKA,d128412322,DGQCZZRHAKWQYZSZYV
R000110,2024-07-05T05:15:00,JAPAN,FUKUOKA,6ae69191bc,NHKFVOPGAVDLE
R000111,2024-06-10T17:47:00,AUSTRALIA,ADELAIDE,e31efa5fca,VKWDPQLZZNSHPYYCT_GH
R000112,2024-07-05T09:35:00,KENYA,NAIROBI,8f26ca19d5,NSXQQJXFADXBP
R000113,2024-06-30T16:55:00,JAPAN,OSAKA,bcb5e3d625,DNDTVHYEVNBCCDONLNC
R000114,2024-07-02T21:56:00,USA,AUSTIN,525d7557c6,XEPQQOUOBMYJRZSYHTY
R000115,2024-07-08T23:52:00,AUSTRALIA,BRISBANE,bb8a0f61ff,LL_YDHXIVJSAJJXF
R000116,2024-07-05T04:12:00,AUSTRALIA,PERTH,242860bfb1,UWFFMEREDSDGHF
R000117,2024-07-12T18:20:00,AUSTRALIA,BRISBANE,74e5e04738,YXANADVGTNVWBEOANVUVW
R000118,2024-06-19T14:24:00,AUSTRALIA,PERTH,af5c6e7176,NCGLFEMZCPBRZU_LHXR_R
R000119,2024-07-05T21:49:00,FRANCE,PARIS,9ca209a57f,QXK_THDULVLVS
R000120,2024-06-06T19:58:00,FRANCE,PARIS,40cdb953a9,WNFZRFCLPWELP
R000121,2024-07-14T03:16:00,CHILE,SANTIAGO,93c17a0c0b,HBKYQJMNBQXPHZYOJAZK
R000122,2024-06-21T07:59:00,KENYA,NAIROBI,2923a2dc64,HTSOGSECHQM
R000123,2024-07-01T09:40:00,JAPAN,TOKYO,185c9738a8,SZUMZBCWXNFFA_MMZPUEN
R000124,2024-06-07T00:12:00,INDIA,NOIDA,3b61e83913,AJHGPPSEEUKLPHZESO
R000125,2024-06-08T20:13:00,GERMANY,MUNICH,fc43338f92,YOAAMACSGXHHDNN
R000126,2024-07-09T06:32:00,UK,BIRMINGHAM,9fd92ca3de,CNONGAPOOLC
R000127,2024-06-27T09:30:00,AUSTRALIA,BRISBANE,881b15f154,LWUKXRXWQEKYHL
R000128,2024-06-15T04:51:00,FRANCE,LYON,e5b715a894,RIPVZKHURZWOT
R000129,2024-07-12T02:22:00,GERMANY,HAMBURG,57fb8d4d18,CBZFSYMOPGJ_SKIRMZOWKJ
R000130,2024-06-21T07:30:00,CANADA,CALGARY,269e6c2313,RJSVSUPTERTOJKZWTA
R000131,2024-07-11T12:46:00,CHILE,ARICA,e50285cc92,ULZPIIKJCY
R000132,2024-06-22T00:58:00,AUSTRALIA,MELBOURNE,0e13f16c8c,QEFJFIFPEIIXXRDUHGDH
R000133,2024-06-19T15:21:00,JAPAN,FUKUOKA,67bccdd570,MXULLMBXIB_YHMFTYUKEC
R000134,2024-07-11T15:42:00,BRAZIL,RIO,33114080e2,I_MACYFPRYPIAGMO
R000135,2024-06-23T21:21:00,CANADA,TORONTO,af1a366012,O_HXDTWXUXLZLYIBEHQPH
R000136,2024-06-17T01:35:00,BRAZIL,RECIFE,1b104c4463,BXLSKZJSTOKNKWPTJJ
R000137,2024-06-25T02:53:00,CHILE,SANTIAGO,24a433eaed,NPBBUQROZRBHRXICXLTAL
R000138,2024-06-20T10:46:00,FRANCE,TOULOUSE,6c94f3ed1b,NVUB_PYXAGBVB
R000139,2024-06-29T12:37:00,CANADA,VANCOUVER,14e9760ab8,KMY_GYTJBWDH
R000140,2024-06-02T16:08:00,JAPAN,NAGOYA,47ef3c3fff,_KNRNOJMNLZ
R000141,2024-06-10T11:22:00,USA,AUSTIN,3cfa80cb50,IUVEZZBRHVSFSCRG
R000142,2024-07-08T01:57:00,JAPAN,TOKYO,a94cf10d24,WYQGVCESBKYLE_T
R000143,2024-07-05T22:28:00,CHILE,ARICA,6720a506cd,MVUDOOHJEORXY_YJUO
R000144,2024-07-04T09:02:00,BRAZIL,SALVADOR,0979ac8a88,FWCKOBDBOP_DREKNZLXGVL
R000145,2024-07-14T20:30:00,FRANCE,LYON,a0ca0a5f83,GJDCCGFVFZUWIKWONV
R000146,2024-07-09T05:21:00,UK,LEEDS,487e47c863,AYUXLGZKDQWXQD
R000147,2024-07-06T07:00:00,JAPAN,SAPPORO,8214ab6c91,IMHHRZHTTGTJFYOYM_GWA_
R000148,2024-06-16T12:13:00,KENYA,NAIROBI,a536dbd131,HQRKV__AFBLEPMEBPZGWEA
R000149,2024-07-02T07:28:00,USA,AUSTIN,cc53adeda5,EIJZTCGEWT
R000150,2024-06-21T18:58:00,UK,MANCHESTER,c401c4b66d,HBZSRBRQTKYG
R000151,2024-06-16T07:34:00,FRANCE,LILLE,b7dc811107,VIERTG_ZTKGT
R000152,2024-06-09T11:21:00,USA,BOSTON,ec27c02b72,BJSWSGFOXNTALCODO
R000153,2024-06-24T12:47:00,FRANCE,LYON,6521ecf8ee,KVJZRHMMFJL
R000154,2024-06-26T11:51:00,GERMANY,BERLIN,2ac484fd52,HCFWRMFMLWILSFZMHS
R000155,2024-06-30T15:08:00,BRAZIL,CURITIBA,ec68382770,UDRXZZDRDMAQHEOKKAESG
R000156,2024-07-06T00:57:00,AUSTRALIA,ADELAIDE,ce85d829bc,SMOYZACWJFRJOS
R000157,2024-07-12T11:45:00,USA,CHICAGO,59831d6ed4,THUBNSLEX_DIOIA
R000158,2024-06-14T07:17:00,CHILE,VALPARAISO,6be8b88cf3,HFTSXPVZIZRCPZ
R000159,2024-07-08T15:58:00,CHILE,SANTIAGO,5563f69b55,XZSNDDBWM_XHU
R000160,2024-06-02T20:25:00,JAPAN,TOKYO,d358340564,LIRSPT_ZNYVSFCHXZPU
R000161,2024-06-13T18:08:00,JAPAN,SAPPORO,5862c2a6ca,JABTYSBOCBPF
R000162,2024-06-04T09:24:00,GERMANY,HAMBURG,95cf460270,QLNEJOVUWP_PYNZ
R000163,2024-07-11T13:26:00,JAPAN,FUKUOKA,b03849a8f3,RHGBVOFQASYMDRIRYBX
R000164,2024-06-08T07:04:00,BRAZIL,CURITIBA,27fd0162e8,PRFADONF_JLFWQHH
R000165,2024-07-13T20:23:00,FRANCE,PARIS,de6d451190,SFVHDLYAYJQKJJ
R000166,2024-06-11T10:55:00,GERMANY,COLOGNE,34f16a26af,SNOSVTDRRN
R000167,2024-06-09T21:19:00,BRAZIL,RIO,3bc0ae816b,HUMZKMPRGGB
R000168,2024-06-23T02:30:00,CHILE,CONCEPCION,ddb8575769,QHJJXKJWAC
R000169,2024-06-02T01:16:00,UK,LEEDS,460756ee90,OTV_WQIEDVTEEW_
R000170,2024-06-08T12:46:00,CANADA,OTTAWA,0fe563df1b,JB_DGVMDWNIB
R000171,2024-06-09T03:48:00,JAPAN,NAGOYA,f80a0cef11,KASKWOQXNG
R000172,2024-07-13T01:33:00,BRAZIL,SALVADOR,b6e7aa23b9,G_XHSQWGLLDA
R000173,2024-06-16T23:14:00,FRANCE,TOULOUSE,2404a76f01,BQJLOGMZSLLYJXHSZV_CCI
R000174,2024-06-01T16:34:00,KENYA,MOMBASA,8732ed544f,ECTAZZNASHLTW
R000175,2024-06-03T19:46:00,CANADA,MONTREAL,50d168e939,WGBUYQLPIHXR
R000176,2024-06-17T09:10:00,UK,GLASGOW,1dc9dcca13,HNQOIWTOGF
R000177,2024-07-02T01:11:00,AUSTRALIA,SYDNEY,c353edf333,ZYJFD_PDQRSRXNQLOSNNA
R000178,2024-06-16T10:27:00,CHILE,IQUIQUE,74bc276c01,T_HOTHC_LZB
R000179,2024-06-17T11:29:00,CANADA,VANCOUVER,368cede4e9,EUWRDKEXPCKLOMN
R000180,2024-06-21T14:05:00,UK,MANCHESTER,a74fc2cb11,F_YASWXKSSJXYUZQYIKXT
R000181,2024-06-15T23:55:00,BRAZIL,RECIFE,45cb74b8de,ILHDRSUHEVNDDT
R000182,2024-06-06T15:32:00,USA,BOSTON,3d9a21173c,ZQVSJFPKBPWC_ARGHYC_
R000183,2024-07-03T23:26:00,GERMANY,MUNICH,103b144a1e,WLDDZPYFNENWJGBUV_ASVH
R000184,2024-07-14T18:09:00,INDIA,KANPUR,916358adda,DRO_CMKB_CZOKUC
R000185,2024-06-04T13:53:00,JAPAN,TOKYO,1f3773fdc5,__NPIHUGLUV_U
R000186,2024-06-19T02:09:00,USA,AUSTIN,4ea43c0e7c,TPHNYRYPYKEQBPFWOSWBKP
R000187,2024-07-16T00:02:00,CANADA,VANCOUVER,f047b83789,IXCLFGVAFXM_WV
R000188,2024-06-06T06:46:00,JAPAN,NAGOYA,917f4a77fe,LYVKJELQIVCU
R000189,2024-06-21T19:12:00,USA,DENVER,b441232688,FBOHQABSZFM
R000190,2024-06-03T19:44:00,AUSTRALIA,ADELAIDE,ce9f4fde46,HNNMXKAAWKKPQ
R000191,2024-07-16T07:03:00,FRANCE,PARIS,67c5ade128,RNMVDYIHD_Z
R000192,2024-06-08T18:10:00,CHILE,IQUIQUE,1251de1cbd,R_NSIZNRHAA
R000193,2024-06-21T08:30:00,UK,GLASGOW,0e7f5e8aca,UO_ODUN_NMTN
R000194,2024-06-16T01:43:00,USA,BOSTON,91dd534600,VPDBUIABIDL
R000195,2024-06-27T16:46:00,BRAZIL,RIO,42ad759f9d,DHV_DBNSMKTWTCIF_OC
R000196,2024-07-05T15:37:00,UK,LONDON,ec860e2ebc,YB_AXZUDBGARWIC
R000197,2024-06-25T11:53:00,GERMANY,HAMBURG,cc64067a16,W_IZRLCNAQIHO
R000198,2024-06-11T22:02:00,GERMANY,HAMBURG,fa4f933c53,UVGZPMYTXYIRVCLQXQFOKC
R000199,2024-06-21T13:26:00,AUSTRALIA,SYDNEY,8db4f7dc3e,VWYTIMTPPA_L_
R000200,2024-07-09T06:28:00,UK,LONDON,3416d244dd,EDQIQTPIOCKQECYERC
R000201,2024-07-12T07:37:00,CHILE,VALPARAISO,197fa62c0e,TTJD_SPKEAIEZZLT
R000202,2024-07-08T07:21:00,AUSTRALIA,PERTH,52bc036ff4,JDQWRFI_EGX
R000203,2024-06-11T08:50:00,JAPAN,NAGOYA,c339de0e1d,ZECFIZLIBLMRKJSTBT
R000204,2024-06-02T11:29:00,CANADA,VANCOUVER,39f8946856,WDFIRTBDUGH
R000205,2024-07-02T03:06:00,JAPAN,SAPPORO,2366d1283e,ZGBGVCIYLWUNFIP
R000206,2024-06-06T10:04:00,CHILE,CONCEPCION,5b2b63bd91,IRFOEKOWTRYGLYAFWDO
R000207,2024-06-09T12:41:00,CHILE,VALPARAISO,f3ced786d6,KXVKMZM_NQTEKI_UKQKP
R000208,2024-07-12T19:58:00,AUSTRALIA,BRISBANE,0558d39f6f,VQCVXXXSNMLUSPC_
R000209,2024-06-13T23:29:00,FRANCE,PARIS,87ed325179,FDZPSXFNBUNXKCJRLQPMCT
R000210,2024-07-04T19:59:00,FRANCE,TOULOUSE,900baf7e99,SSDNQSKZROMJBSWERRD_
R000211,2024-06-20T17:17:00,JAPAN,OSAKA,0a5fce88c0,DULVWZSAYDTFLGGJU_VUL
R000212,2024-06-24T03:57:00,BRAZIL,CURITIBA,4e68b373b3,_SJHRFYEWU
R000213,2024-06-02T18:47:00,UK,LONDON,17296677d1,KBAAJFBCTTHOQDJ
R000214,2024-06-04T01:55:00,GERMANY,HAMBURG,90a8b20953,TZYCQ_SQBXTJCZJGVN
R000215,2024-07-15T12:54:00,BRAZIL,RECIFE,82ce6a6500,GWFGISBLOCXEETOPTR
R000216,2024-06-14T16:18:00,USA,CHICAGO,adad65faa0,YFKAHAIMFTGGFFLTFUVWWM
R000217,2024-06-17T04:47:00,CHILE,CONCEPCION,57bb95d0e7,BAZOWXYZSH
R000218,2024-06-07T15:58:00,CANADA,MONTREAL,a64fe894da,DMNSFKMDIRYUBFSTVQ
R000219,2024-06-03T07:57:00,USA,BOSTON,d42f04e4e8,FX_PDWBFKBEQMTRWB
R000220,2024-06-05T12:04:00,KENYA,ELDORET,7daf6e53f1,DDGPDS_TUFFM_LIMZNWYHH
R000221,2024-06-18T04:57:00,UK,GLASGOW,31626ecda6,OWTZYQ_LHJPHTEWPPP
R000222,2024-06-18T21:13:00,FRANCE,LILLE,f905f6121b,FUJXGCOINXNM
R000223,2024-07-02T21:44:00,KENYA,NAIROBI,0756fa4c78,RITFUAJEPIAKYXHFFWKI
R000224,2024-07-10T23:11:00,JAPAN,SAPPORO,211c9c6e2a,UOUHYMWTHZX
R000225,2024-06-08T00:27:00,UK,BIRMINGHAM,393a7da08b,_FBGIPWULQMAEOLAZJK
R000226,2024-06-17T13:28:00,FRANCE,LYON,1d6869d075,LMYOLDOKORQ
R000227,2024-07-04T01:19:00,CHILE,VALPARAISO,3e4bd547a2,FFFBOXCCWFLGJSZD_X
R000228,2024-07-10T20:24:00,USA,CHICAGO,493bb9f4ac,PFXZZSBDRAWKWDCD
R000229,2024-06-06T13:37:00,AUSTRALIA,PERTH,01a8051e9d,YEDMVD_XKSUN
R000230,2024-06-11T10:23:00,AUSTRALIA,PERTH,61e4411ab2,TISMPQBOEQUZSTAINV
R000231,2024-06-23T21:38:00,BRAZIL,SAOPAULO,c22f34d65f,PET_GFRXGL
R000232,2024-06-21T04:15:00,UK,LEEDS,85b63e8f48,TNOROXHUAK
R000233,2024-06-01T17:40:00,JAPAN,NAGOYA,3ebd775c72,IMUKYYAONYBUHYCW
R000234,2024-06-05T07:34:00,CANADA,MONTREAL,1c2ec1b73f,TLKHFVSBVS_
R000235,2024-06-09T22:21:00,KENYA,ELDORET,c165121f67,BTCYLOYHDYFJVT
R000236,2024-06-20T02:50:00,JAPAN,OSAKA,a6da115c5f,QC_MLVKOD_V_URR_GGOUKX
R000237,2024-06-07T09:38:00,CANADA,TORONTO,3df6af2f18,BNP_SOWHTCQHX
R000238,2024-07-05T17:18:00,USA,BOSTON,753128c0d6,VWPXIYYSKBPBLY
R000239,2024-07-07T12:38:00,KENYA,KISUMU,21b4761de1,FDLJAZX_IQHOHPZSC
R000240,2024-06-02T20:16:00,BRAZIL,SAOPAULO,be52f9c826,OFRBNMBQYUXIHOMHJKJQI
R000241,2024-07-01T17:01:00,KENYA,KISUMU,34792d8e43,KNBUGMZBGM
R000242,2024-06-21T21:52:00,USA,BOSTON,086a7490d6,BJCARNMDUEOKY_CIHZCSV
R000243,2024-07-14T11:37:00,USA,BOSTON,c5c18b722b,HLPUXROZKLZ
R000244,2024-07-11T06:20:00,GERMANY,COLOGNE,34c271cf78,GEYCSAPEHWH
R000245,2024-06-05T16:40:00,BRAZIL,CURITIBA,a0d3282772,HLQQVIZDZJXFMDUEFXI_T
R000246,2024-07-02T20:28:00,GERMANY,HAMBURG,8a93252d79,WNAPCVRIEZN
R000247,2024-06-20T22:32:00,CANADA,TORONTO,f9be22e696,AXZPHUXWOIPJHJOYMHHC_
R000248,2024-07-14T06:20:00,CHILE,IQUIQUE,86875c38d2,HELREJYZXHUSXNMURLS
R000249,2024-07-11T09:08:00,FRANCE,LILLE,841a8de5a1,VWVFGYJOFK_
R000250,2024-06-17T13:23:00,USA,BOSTON,af17f80244,ZNHYQUGKALBUCMJJV_L
R000251,2024-06-11T12:15:00,CHILE,CONCEPCION,f739d5c774,SM_LBPORCZ
R000252,2024-06-15T05:35:00,GERMANY,MUNICH,cf52a1f707,RCGZCRKQNEQDPOCNKW
R000253,2024-06-26T02:52:00,CHILE,SANTIAGO,c198a09948,HZOIVQLSJPOLXAKUQYTCZ
R000254,2024-06-02T02:54:00,UK,MANCHESTER,dd1c6b83a2,KYICRBWPOK
R000255,2024-07-02T20:58:00,BRAZIL,SAOPAULO,6580f663e5,AIGHKYE_EHJ_KVT
R000256,2024-07-01T19:52:00,UK,BIRMINGHAM,8fc29a272e,EBRXMBQPM_S
R000257,2024-06-11T17:38:00,FRANCE,LILLE,272543c5f1,HKOJQISVHKHOT
R000258,2024-06-26T19:39:00,JAPAN,SAPPORO,fa4cdf4b2c,QFKAGYVVNDNCQX
R000259,2024-06-02T02:46:00,FRANCE,NICE,ea4db4d2a0,IDWQ_ERQ_PDNVXLYMLCJ
